Shirt,Player,Team,Formation,Match_x,Nation,Age,Min,Shot Stopping|SoTA,Shot Stopping|GA,Shot Stopping|Saves,Shot Stopping|Save%,Shot Stopping|PSxG,Launched|Cmp,Launched|Att,Launched|Cmp%,Passes|Att,Passes|Thr,Passes|Launch%,Passes|AvgLen,Goal Kicks|Att,Goal Kicks|Launch%,Goal Kicks|AvgLen,Crosses|Opp,Crosses|Stp,Crosses|Stp%,Sweeper|#OPA,Sweeper|AvgDist,Match_y
1,Iván Villar,Celta,Vigo,/en/matches/a3eca3e6/Levante-Celta-Vigo-October-26-2020-La-Liga,es ESP,23-109,90,3,1,3,100.0,1.2,9,21,42.9,27,5,63.0,46.9,6,66.7,52.7,9,0,0.0,2,15.3,/en/matches/a3eca3e6/Levante-Celta-Vigo-October-26-2020-La-Liga
1,Rui Silva,Granada,4-2-3-1,/en/matches/1da39788/Granada-Levante-November-1-2020-La-Liga,pt POR,26-268,90,4,1,3,75.0,0.3,8,36,22.2,25,1,76.0,57.6,17,100.0,70.4,16,0,0.0,0,8.8,/en/matches/1da39788/Granada-Levante-November-1-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/1da39788/Granada-Levante-November-1-2020-La-Liga,es ESP,29-182,90,2,1,1,50.0,0.7,1,2,50.0,15,4,13.3,28.8,5,0.0,19.0,2,0,0.0,2,25.3,/en/matches/1da39788/Granada-Levante-November-1-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/f0416d1e/Levante-Alaves-November-8-2020-La-Liga,es ESP,29-189,90,2,1,1,50.0,1.0,6,7,85.7,19,7,31.6,33.7,2,50.0,31.0,2,0,0.0,1,16.3,/en/matches/f0416d1e/Levante-Alaves-November-8-2020-La-Liga
1,Fernando Pacheco,Alavés,4-4-2,/en/matches/f0416d1e/Levante-Alaves-November-8-2020-La-Liga,es ESP,28-174,90,5,1,4,80.0,1.1,22,36,61.1,27,3,85.2,55.8,13,100.0,65.2,22,2,9.1,0,10.9,/en/matches/f0416d1e/Levante-Alaves-November-8-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/e89ce534/Levante-Elche-November-21-2020-La-Liga,es ESP,29-202,90,5,1,4,80.0,1.3,1,8,12.5,28,9,17.9,30.0,4,75.0,56.5,9,0,0.0,1,14.1,/en/matches/e89ce534/Levante-Elche-November-21-2020-La-Liga
13,Édgar Badía,Elche,4-1-4-1,/en/matches/e89ce534/Levante-Elche-November-21-2020-La-Liga,es ESP,28-283,90,5,1,4,80.0,1.4,5,14,35.7,36,7,22.2,31.1,7,85.7,47.7,8,0,0.0,1,12.8,/en/matches/e89ce534/Levante-Elche-November-21-2020-La-Liga
1,Jordi Masip,Valladolid,4-4-2,/en/matches/a6739bc2/Valladolid-Levante-November-27-2020-La-Liga,es ESP,31-329,90,2,1,2,100.0,1.4,6,23,26.1,19,5,73.7,54.9,9,100.0,73.7,10,0,0.0,2,20.4,/en/matches/a6739bc2/Valladolid-Levante-November-27-2020-La-Liga
34,Cárdenas,Levante,4-4-2,/en/matches/a6739bc2/Valladolid-Levante-November-27-2020-La-Liga,es ESP,23-244,90,4,1,3,75.0,1.0,3,7,42.9,22,4,27.3,30.5,7,14.3,18.4,16,2,12.5,1,15.3,/en/matches/a6739bc2/Valladolid-Levante-November-27-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/7ba04d2d/Levante-Getafe-December-5-2020-La-Liga,es ESP,29-216,90,0,0,0,,0.0,4,7,57.1,25,5,28.0,32.3,7,0.0,17.1,11,1,9.1,0,21.0,/en/matches/7ba04d2d/Levante-Getafe-December-5-2020-La-Liga
13,David Soria,Getafe,4-4-2,/en/matches/7ba04d2d/Levante-Getafe-December-5-2020-La-Liga,es ESP,27-245,90,8,3,5,62.5,2.8,8,27,29.6,23,0,100.0,68.9,6,66.7,54.5,11,1,9.1,1,12.4,/en/matches/7ba04d2d/Levante-Getafe-December-5-2020-La-Liga
1,Marc-André ter Stegen,Barcelona,4-2-3-1,/en/matches/5ef7c398/Barcelona-Levante-December-13-2020-La-Liga,de GER,28-227,90,3,0,3,100.0,0.5,8,8,100.0,23,6,26.1,29.4,6,33.3,33.8,5,0,0.0,0,6.5,/en/matches/5ef7c398/Barcelona-Levante-December-13-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/5ef7c398/Barcelona-Levante-December-13-2020-La-Liga,es ESP,29-224,90,13,1,12,92.3,2.7,11,19,57.9,29,7,62.1,41.3,11,9.1,23.7,12,1,8.3,3,24.2,/en/matches/5ef7c398/Barcelona-Levante-December-13-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/f6b2a2a6/Levante-Real-Sociedad-December-19-2020-La-Liga,es ESP,29-230,90,5,1,4,80.0,1.2,6,15,40.0,34,11,35.3,38.1,10,30.0,31.3,17,1,5.9,1,15.5,/en/matches/f6b2a2a6/Levante-Real-Sociedad-December-19-2020-La-Liga
1,Álex Remiro,RealS,Sociedad,/en/matches/f6b2a2a6/Levante-Real-Sociedad-December-19-2020-La-Liga,es ESP,25-270,90,5,2,3,60.0,1.2,9,14,64.3,25,6,32.0,35.5,6,100.0,70.8,6,2,33.3,2,19.8,/en/matches/f6b2a2a6/Levante-Real-Sociedad-December-19-2020-La-Liga
1,Álvaro Fernández,Huesca,4-3-3,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga,es ESP,22-253,90,1,1,0,0.0,0.6,3,7,42.9,15,3,40.0,38.5,7,14.3,38.3,8,0,0.0,1,24.0,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga,es ESP,29-233,90,1,1,1,100.0,1.3,8,19,42.1,27,4,55.6,43.5,9,44.4,40.1,16,1,6.3,1,15.3,/en/matches/259ecaa0/Huesca-Levante-December-22-2020-La-Liga
13,Aitor Fernández,Levante,4-4-2,/en/matches/d66ce142/Levante-Real-Betis-December-29-2020-La-Liga,es ESP,29-240,90,6,3,4,66.7,3.3,5,23,21.7,33,2,60.6,47.9,8,37.5,40.3,13,1,7.7,0,9.8,/en/matches/d66ce142/Levante-Real-Betis-December-29-2020-La-Liga
1,Joel Robles,Betis,4-2-3-1,/en/matches/d66ce142/Levante-Real-Betis-December-29-2020-La-Liga,es ESP,30-195,90,5,4,1,20.0,2.9,6,11,54.5,16,3,62.5,44.9,4,25.0,26.0,6,0,0.0,2,33.8,/en/matches/d66ce142/Levante-Real-Betis-December-29-2020-La-Liga
